,GO_term_ID,GO_term_def,P,P_FDR_adj,NofGenes,Genes
1,GO:0009887,animal organ morphogenesis,5.878E-07,1.850E-03,67,ADAM15|AGRN|AMELX|BMP10|BMP4|BMPR1A|BMPR2|COL1A1|COL1A2|COL2A1|COL3A1|COL5A1|COL5A2|COL6A2|COL6A3|COL7A1|CTGF|DDR1|EFNB2|EGFR|EPHA2|EPHB1|EPHB2|EPHB4|EREG|FASLG|FBN1|FGF4|FGF6|FGFR1|FGFR3|HAS2|HHIP|IGF2|IHH|IL7|INHBA|ITGA2|ITGA6|ITGB4|JAG1|LAMA5|LAMB1|LAMB3|LAMC2|LIF|LRP5|MFAP2|MYLK|MYLK2|NOTCH1|NRP2|PDGFA|PDGFRA|PDGFRB|PSEN1|PVRL1|SCN10A|SEMA3A|SEMA3C|SERPINE1|TGFB3|TGFBR2|TNC|TNF|TNFSF11|VEGFA
2,GO:2001237,negative regulation of extrinsic apoptotic signaling pathway,1.034E-06,1.850E-03,19,BMP4|COL2A1|FAS|FASLG|FGA|ICAM1|IL1A|IL1B|IL7|ITGA6|ITGAV|PF4|SERPINE1|THBS1|TNF|TNFRSF10A|TNFRSF10B|TNFSF10|TRAF2
3,GO:0030260,entry into host cell,1.509E-06,1.850E-03,22,CD55|CDH1|CR1|EFNB2|EGFR|EPHA2|F11R|ICAM1|ITGA2|ITGA5|ITGAV|ITGB1|ITGB5|LAMP1|LDLR|MET|PVRL1|PVRL2|RPSA|SCARB1|TFRC|TNFRSF14
4,GO:0044409,entry into host,1.509E-06,1.850E-03,22,CD55|CDH1|CR1|EFNB2|EGFR|EPHA2|F11R|ICAM1|ITGA2|ITGA5|ITGAV|ITGB1|ITGB5|LAMP1|LDLR|MET|PVRL1|PVRL2|RPSA|SCARB1|TFRC|TNFRSF14
5,GO:0009888,tissue development,3.160E-06,3.100E-03,87,ACVR1B|ACVR2A|ADAM15|ADAM17|ADAM9|AGRN|AMELX|AMELY|BMP10|BMP15|BMP4|BMPR1A|BMPR2|CD151|COL1A1|COL1A2|COL2A1|COL3A1|COL4A1|COL5A1|COL6A2|COL6A3|COL7A1|CTGF|CXCR2|DDR1|DKK1|EFNB1|EFNB2|EGFR|EPHA2|EPHA7|ERBB3|EREG|F11R|FGF4|FGF6|FGFR1|FGFR3|GDF2|HAS2|HHIP|ICAM1|IHH|INHBA|ITGA2|ITGA3|ITGA4|ITGA5|ITGA6|ITGAV|ITGB1|ITGB4|ITGB5|JAG1|LAMA5|LAMB1|LAMB3|LAMC2|LIF|LRP5|MET|MLLT4|MMP9|MYLK|MYLK2|NOTCH1|NPY|NRP2|PDGFA|PDGFRA|PDGFRB|PSEN1|PVRL1|SDC4|SEMA3A|SEMA3C|SEMA4D|SEMA5A|SERPINE2|SPINT1|ST14|TGFBR2|TIMP1|TNC|TNFSF11|VEGFA
6,GO:0019058,viral life cycle,4.353E-06,3.559E-03,22,APOE|CD55|CR1|EFNB2|EGFR|EPHA2|F11R|ICAM1|ITGA2|ITGA5|ITGAV|ITGB1|ITGB5|LAMP1|LDLR|PVRL1|PVRL2|RPSA|SCARB1|TFRC|TNFRSF14|UBA52
7,GO:0030198,extracellular matrix organization,6.616E-06,3.887E-03,49,ADAM15|AGRN|APP|CDH1|COL1A1|COL1A2|COL2A1|COL3A1|COL4A1|COL5A1|COL5A2|COL6A2|COL6A3|COL7A1|CTGF|DDR1|F11R|FBN1|FGA|HAS2|ICAM1|IHH|ITGA2|ITGA3|ITGA4|ITGA5|ITGA6|ITGAE|ITGAV|ITGB1|ITGB4|ITGB5|LAMA5|LAMB1|LAMB3|LAMC2|MFAP2|MMP9|PDGFA|PDGFRA|SERPINE1|SPINT1|THBS1|TIMP1|TIMP2|TNC|TNF|TNFRSF11B|VWF
8,GO:0043588,skin development,6.938E-06,3.887E-03,23,ACVR1B|ADAM9|COL1A1|COL1A2|COL3A1|COL5A1|COL5A2|DKK1|EGFR|EPHA2|EREG|INHBA|ITGA2|ITGA3|ITGA6|ITGB4|JAG1|LAMA5|MET|NOTCH1|PDGFA|PSEN1|ST14
9,GO:0051701,interaction with host,7.132E-06,3.887E-03,22,CD55|CDH1|CR1|EFNB2|EGFR|EPHA2|F11R|ICAM1|ITGA2|ITGA5|ITGAV|ITGB1|ITGB5|LAMP1|LDLR|MET|PVRL1|PVRL2|RPSA|SCARB1|TFRC|TNFRSF14
10,GO:2001234,negative regulation of apoptotic signaling pathway,1.091E-05,4.450E-03,23,BMP4|CD74|COL2A1|FAS|FASLG|FGA|ICAM1|IL1A|IL1B|IL7|ITGA6|ITGAV|MMP9|PF4|PLAUR|PSEN1|SERPINE1|THBS1|TNF|TNFRSF10A|TNFRSF10B|TNFSF10|TRAF2
