,GO_term_ID,GO_term_def,P,P_FDR_adj,NofGenes,Genes
1,GO:0001618,virus receptor activity,4.058E-06,2.101E-03,20,CD55|CR1|EFNB2|EGFR|EPHA2|F11R|ICAM1|ITGA2|ITGA5|ITGAV|ITGB1|ITGB5|LAMP1|LDLR|PVRL1|PVRL2|RPSA|SCARB1|TFRC|TNFRSF14
2,GO:0140272,exogenous protein binding,7.016E-06,2.101E-03,20,CD55|CR1|EFNB2|EGFR|EPHA2|F11R|ICAM1|ITGA2|ITGA5|ITGAV|ITGB1|ITGB5|LAMP1|LDLR|PVRL1|PVRL2|RPSA|SCARB1|TFRC|TNFRSF14
3,GO:0048407,platelet-derived growth factor binding,1.966E-05,3.926E-03,9,COL1A1|COL1A2|COL2A1|COL3A1|COL4A1|COL5A1|PDGFA|PDGFRA|PDGFRB
4,GO:0050839,cell adhesion molecule binding,3.538E-05,5.298E-03,39,ADAM15|ADAM17|ADAM2|ADAM9|BMPR2|CD151|CDH1|CGN|COL3A1|COL5A1|CTGF|EGFR|EPHA2|F11R|FAP|FBN1|FGA|ICAM1|IGF2|IL1B|ITGA2|ITGA3|ITGA4|ITGA5|ITGA6|ITGAV|ITGB1|ITGB4|ITGB5|LAMA5|LAMB1|MFGE8|MLLT4|PSEN1|PVRL1|PVRL2|THBS1|TIMP2|VWF
5,GO:0019838,growth factor binding,8.639E-05,9.125E-03,31,ACVR1B|ACVR2A|BMPR1A|BMPR2|COL1A1|COL1A2|COL2A1|COL3A1|COL4A1|COL5A1|CTGF|EGFR|ERBB2|ERBB3|FGFR1|FGFR3|FGFR4|IGF2R|IL1R2|IL2RG|IL6ST|ITGA6|ITGAV|ITGB4|NRP2|PDGFA|PDGFRA|PDGFRB|TGFB3|TGFBR2|THBS1
6,GO:0005178,integrin binding,9.140E-05,9.125E-03,27,ADAM15|ADAM17|ADAM2|ADAM9|CD151|COL3A1|COL5A1|CTGF|EGFR|FAP|FBN1|ICAM1|IGF2|IL1B|ITGA2|ITGA3|ITGA5|ITGAV|ITGB1|ITGB4|ITGB5|LAMA5|LAMB1|MFGE8|THBS1|TIMP2|VWF
7,GO:0002020,protease binding,1.401E-04,1.199E-02,16,COL1A1|COL1A2|COL3A1|FAP|ITGA3|ITGAV|ITGB1|LDLR|LRP1|SELL|SERPINE1|TIMP1|TIMP2|TNF|TNFRSF10A|VWF
8,GO:0019899,enzyme binding,2.395E-04,1.643E-02,49,ACVR1B|ADAM9|APP|BMPR2|CALM1|CALM2|CALM3|CD247|CD74|COL1A1|COL1A2|COL3A1|EGFR|EPHA1|ERBB2|ERBB3|FAP|FARP2|FAS|HSP90B1|IGF2R|ITGA3|ITGAV|ITGB1|KCNN4|KCNQ1|LAMP1|LDLR|LRP1|LRPAP1|MET|MLLT4|NOTCH1|PDGFRB|PLAUR|SDC4|SELL|SERPINE1|SORL1|TGFBR2|TIMP1|TIMP2|TNF|TNFRSF10A|TNFRSF14|TNFRSF1B|TRAF2|UBA52|VWF
9,GO:0001968,fibronectin binding,2.468E-04,1.643E-02,8,CTGF|ITGA3|ITGA4|ITGAV|ITGB1|SDC4|THBS1|VEGFA
10,GO:0044877,protein-containing complex binding,2.780E-04,1.665E-02,51,ACVR1B|ACVR2A|ADAM15|ADAM17|ADAM2|ADAM9|APOE|CD151|CD3G|CD74|COL3A1|COL5A1|CTGF|DDR1|EGFR|EPHB1|EPHB2|FAP|FBN1|HLA-E|ICAM1|IGF2|IL1B|ITGA2|ITGA3|ITGA5|ITGA6|ITGAV|ITGB1|ITGB4|ITGB5|JMJD6|KLRD1|LAMA5|LAMB1|LAMB3|LDLR|LRP1|LRP8|MFGE8|MLLT4|MMP9|PDGFA|PDGFRA|RPSA|SCARB1|SORL1|THBS1|TIMP2|TRAF2|VWF
