,GO_term_ID,GO_term_def,NofGenes,Genes
1,GO:0007165,signal transduction,42,ABCA1|ADAM15|ADAM9|ADCY7|B2M|CALM1|CCL20|CCR6|CD3G|CD44|EFNB1|EPHB4|ERBB2|GP6|GRPR|HLA-A|HMGB1|IL18|IL18R1|IL1R1|IL1R2|IL1RL2|IL1RN|IL7|IL7R|ITGA2|ITGA3|ITGA6|ITGAV|ITGB1|ITGB4|JAG1|LGALS3BP|NMB|NOTCH1|NOV|SDC1|SPP1|TNFRSF10B|TNFRSF1B|TNFSF10|VANGL1
2,GO:0048856,anatomical structure development,35,ADAM15|ADAM9|B2M|CALM1|CCR6|CD3G|CD44|EFNB1|EPHB4|ERBB2|HMGB1|HSPG2|IL18|IL18R1|IL7|IL7R|ITGA2|ITGA3|ITGA6|ITGAV|ITGB1|ITGB4|JAG1|LAMB1|LAMB3|LAMC1|LAMC2|NOTCH1|NOV|OMG|SDC1|SPP1|TNFRSF1B|TNFSF10|VANGL1
3,GO:0030154,cell differentiation,30,ADAM15|ADAM9|B2M|CCR6|CD3G|EFNB1|EPHB4|ERBB2|HMGB1|HSPG2|IL18R1|IL7|IL7R|ITGA2|ITGA3|ITGA6|ITGAV|ITGB1|ITGB4|JAG1|LAMB1|LAMB3|LAMC1|LAMC2|NOTCH1|NOV|OMG|SDC1|SPP1|TNFRSF1B
4,GO:0002376,immune system process,30,ADAM15|ADAM9|B2M|CCL20|CCR6|CD3G|CD44|EFNB1|GP6|HLA-A|HMGB1|IL18|IL18R1|IL1R1|IL1R2|IL1RL2|IL1RN|IL7|IL7R|ITGA3|ITGA6|ITGAV|ITGB1|JAG1|NOTCH1|SDC1|THBD|TNFRSF10B|TNFRSF1B|TNFSF10
5,GO:0006950,response to stress,29,ABCA1|ADAM15|ADAM9|B2M|CCL20|CCR6|CD44|ERBB2|GP6|HLA-A|HMGB1|HSPG2|IL18|IL18R1|IL1R1|IL1RL2|IL1RN|ITGA2|ITGB1|ITGB4|LGALS3BP|NOTCH1|NOV|OMG|SDC1|SPP1|THBD|TNFRSF10B|TNFRSF1B
6,GO:0040011,locomotion,26,ADAM9|CCL20|CCR6|CD44|EFNB1|EPHB4|ERBB2|GP6|HMGB1|HSPG2|IL1RN|ITGA2|ITGA3|ITGA6|ITGAV|ITGB1|ITGB4|LAMB1|LAMB3|LAMC1|LAMC2|NOTCH1|NOV|SDC1|THBD|TNFRSF10B
7,GO:0048870,cell motility,25,ADAM9|CCL20|CCR6|CD44|EFNB1|EPHB4|GP6|HMGB1|HSPG2|IL1RN|ITGA2|ITGA3|ITGA6|ITGAV|ITGB1|ITGB4|LAMB1|LAMB3|LAMC1|LAMC2|NOTCH1|NOV|SDC1|THBD|TNFRSF10B
8,GO:0007155,cell adhesion,20,ADAM15|ADAM9|CD44|EFNB1|EPHB4|HSPG2|ITGA2|ITGA3|ITGA6|ITGAV|ITGB1|ITGB4|LAMB1|LAMB3|LAMC1|LAMC2|LGALS3BP|NOV|OMG|SPP1
9,GO:0048646,anatomical structure formation involved in morphogenesis,15,ADAM15|EPHB4|HSPG2|IL18|ITGA2|ITGA3|ITGA6|ITGAV|ITGB1|ITGB4|JAG1|LAMB1|LAMB3|NOTCH1|NOV
10,GO:0030198,extracellular matrix organization,14,ADAM15|CD44|HSPG2|ITGA2|ITGA3|ITGA6|ITGAV|ITGB1|ITGB4|LAMB1|LAMB3|LAMC1|LAMC2|SPP1
11,GO:0006810,transport,14,ABCA1|B2M|CALM1|CD3G|CD44|HMGB1|HSPG2|IL1RN|ITGAV|ITGB1|LGALS3BP|NMB|NOTCH1|TNFRSF1B
12,GO:0042592,homeostatic process,13,ABCA1|ADCY7|B2M|CALM1|CCR6|HMGB1|IL18|IL7|IL7R|ITGAV|NMB|NOTCH1|NOV
13,GO:0022607,cellular component assembly,12,ABCA1|B2M|CD3G|ITGA2|ITGA6|ITGB1|ITGB4|LAMB1|LAMB3|LAMC1|LAMC2|NOTCH1
14,GO:0000902,cell morphogenesis,12,EFNB1|EPHB4|ERBB2|HSPG2|IL7R|ITGAV|ITGB1|LAMB1|LAMB3|LAMC1|LAMC2|NOTCH1
15,GO:0016192,vesicle-mediated transport,11,ABCA1|B2M|CALM1|CD3G|CD44|HMGB1|HSPG2|ITGAV|ITGB1|LGALS3BP|TNFRSF1B
16,GO:0007267,cell-cell signaling,11,CALM1|CCL20|EFNB1|IL18|IL1RN|IL7|NMB|SDC1|TNFRSF1B|TNFSF10|VANGL1
17,GO:0000003,reproduction,11,ADAM15|ADCY7|CCR6|ITGA2|ITGA3|ITGB1|NOTCH1|SDC1|SPP1|THBD|TNFSF10
18,GO:0006464,cellular protein modification process,10,ABCA1|CALM1|DUSP18|EPHB4|ERBB2|IL18|ITGAV|LAMB1|LAMC1|SPP1
19,GO:0009790,embryo development,9,EFNB1|ITGA2|ITGA3|ITGAV|ITGB1|ITGB4|LAMB1|LAMB3|NOTCH1
20,GO:0009056,catabolic process,8,ADAM15|CALM1|CD44|HMGB1|HSPG2|ITGB4|SDC1|SPP1
21,GO:0008219,cell death,7,ADAM15|HMGB1|ITGAV|NOTCH1|TNFRSF10B|TNFRSF1B|TNFSF10
22,GO:0015031,protein transport,6,ABCA1|CD3G|HMGB1|IL1RN|ITGAV|NOTCH1
23,GO:0009058,biosynthetic process,6,ABCA1|ADCY7|HSPG2|IL18|NOTCH1|SDC1
24,GO:0034330,cell junction organization,6,ITGA2|ITGA6|ITGB4|LAMB3|LAMC1|LAMC2
25,GO:0006629,lipid metabolic process,6,ABCA1|HSPG2|IL1RN|RBP3|SDC1|SPP1
26,GO:0050877,nervous system process,6,B2M|GRPR|ITGA2|ITGA3|ITGB1|RBP3
27,GO:0044403,symbiotic process,5,B2M|CALM1|ITGA2|ITGAV|ITGB1
28,GO:0008283,cell population proliferation,5,IL18|IL7R|ITGA2|NOTCH1|NOV
29,GO:0044281,small molecule metabolic process,4,ABCA1|ADCY7|CALM1|CD44
30,GO:0040007,growth,4,ADAM15|ITGB1|NOTCH1|NOV
31,GO:0034641,cellular nitrogen compound metabolic process,4,ADCY7|CCR6|HMGB1|NOTCH1
32,GO:0065003,protein-containing complex assembly,4,ABCA1|B2M|CD3G|LAMC1
33,GO:0061024,membrane organization,3,ABCA1|CD3G|IL7R
34,GO:0006259,DNA metabolic process,2,CCR6|HMGB1
35,GO:0006914,autophagy,2,HMGB1|ITGB4
36,GO:0007568,aging,2,B2M|TNFRSF1B
37,GO:0007049,cell cycle,2,ITGB1|NOTCH1
38,GO:0055085,transmembrane transport,2,ABCA1|ITGAV
39,GO:0000278,mitotic cell cycle,1,ITGB1
40,GO:0034655,nucleobase-containing compound catabolic process,1,HMGB1
41,GO:0007010,cytoskeleton organization,1,ITGB1
42,GO:0006091,generation of precursor metabolites and energy,1,CALM1
43,GO:0005975,carbohydrate metabolic process,1,CALM1
44,GO:0006457,protein folding,1,B2M
45,GO:0021700,developmental maturation,1,CCR6
46,GO:0051186,cofactor metabolic process,1,CALM1
47,GO:0051276,chromosome organization,1,HMGB1
48,GO:0051301,cell division,1,NOTCH1
49,GO:0043473,pigmentation,1,VANGL1
50,GO:0003013,circulatory system process,0,
51,GO:0051604,protein maturation,0,
52,GO:0071554,cell wall organization or biogenesis,0,
53,GO:0071941,nitrogen cycle metabolic process,0,
54,GO:0030705,cytoskeleton-dependent intracellular transport,0,
55,GO:0042254,ribosome biogenesis,0,
56,GO:0015979,photosynthesis,0,
57,GO:0007005,mitochondrion organization,0,
58,GO:0007009,plasma membrane organization,0,
59,GO:0007034,vacuolar transport,0,
60,GO:0007059,chromosome segregation,0,
61,GO:0006790,sulfur compound metabolic process,0,
62,GO:0006605,protein targeting,0,
63,GO:0006520,cellular amino acid metabolic process,0,
64,GO:0006397,mRNA processing,0,
65,GO:0019748,secondary metabolic process,0,
66,GO:0022618,ribonucleoprotein complex assembly,0,
67,GO:0006412,translation,0,
68,GO:0006399,tRNA metabolic process,0,
69,GO:0006913,nucleocytoplasmic transport,0,
70,GO:0032196,transposition,0,
71,GO:0140014,mitotic nuclear division,0,
