,GO_term_ID,GO_term_def,P,P_FDR_adj,NofGenes,Genes
1,GO:0043062,extracellular structure organization,0.000E+00,2.800E-09,30,COL1A1|COL1A2|COL3A1|COL4A5|COL4A6|COL5A2|COL6A1|COL6A2|COL7A1|CTGF|CYR61|FBLN1|FN1|ICAM1|ICAM4|ITGA3|ITGA5|ITGA6|ITGAV|ITGB1|LAMA2|LAMB3|LAMC1|LAMC2|LAMC3|NID1|SPP1|THBS1|TIMP2|TNC
2,GO:0030198,extracellular matrix organization,0.000E+00,3.000E-10,30,COL1A1|COL1A2|COL3A1|COL4A5|COL4A6|COL5A2|COL6A1|COL6A2|COL7A1|CTGF|CYR61|FBLN1|FN1|ICAM1|ICAM4|ITGA3|ITGA5|ITGA6|ITGAV|ITGB1|LAMA2|LAMB3|LAMC1|LAMC2|LAMC3|NID1|SPP1|THBS1|TIMP2|TNC
3,GO:0007155,cell adhesion,6.260E-08,1.024E-04,32,ADAM17|ADAM2|CD9|COL3A1|COL4A6|COL6A1|COL6A2|COL7A1|CTGF|CXCL12|CYR61|FN1|ICAM1|ICAM4|ITGA3|ITGA5|ITGA6|ITGAV|ITGB1|L1CAM|LAMA2|LAMB3|LAMC1|LAMC2|LAMC3|LGALS3BP|NID1|RELN|SPP1|THBS1|THBS2|TNC
4,GO:0022610,biological adhesion,8.490E-08,1.041E-04,32,ADAM17|ADAM2|CD9|COL3A1|COL4A6|COL6A1|COL6A2|COL7A1|CTGF|CXCL12|CYR61|FN1|ICAM1|ICAM4|ITGA3|ITGA5|ITGA6|ITGAV|ITGB1|L1CAM|LAMA2|LAMB3|LAMC1|LAMC2|LAMC3|LGALS3BP|NID1|RELN|SPP1|THBS1|THBS2|TNC
5,GO:0071840,cellular component organization or biogenesis,9.597E-07,7.846E-04,43,ADAM2|AMFR|BDNF|CAV1|CD9|COL1A1|COL1A2|COL3A1|COL4A5|COL4A6|COL5A2|COL6A1|COL6A2|COL7A1|CTGF|CXCL12|CYR61|FBLN1|FN1|ICAM1|ICAM4|ITGA3|ITGA5|ITGA6|ITGAV|ITGB1|L1CAM|LAMA2|LAMB3|LAMC1|LAMC2|LAMC3|NID1|RELN|RYK|SEMA7A|SPP1|TGM2|THBS1|TIMP2|TNC|VEGFA|WNT5A
6,GO:0016043,cellular component organization,9.597E-07,7.846E-04,43,ADAM2|AMFR|BDNF|CAV1|CD9|COL1A1|COL1A2|COL3A1|COL4A5|COL4A6|COL5A2|COL6A1|COL6A2|COL7A1|CTGF|CXCL12|CYR61|FBLN1|FN1|ICAM1|ICAM4|ITGA3|ITGA5|ITGA6|ITGAV|ITGB1|L1CAM|LAMA2|LAMB3|LAMC1|LAMC2|LAMC3|NID1|RELN|RYK|SEMA7A|SPP1|TGM2|THBS1|TIMP2|TNC|VEGFA|WNT5A
7,GO:0009888,tissue development,4.666E-06,3.269E-03,31,ACVR2A|ADAM17|CAV1|CD9|COL1A1|COL1A2|COL3A1|COL6A1|COL6A2|COL7A1|CTGF|CYR61|FN1|ICAM1|ITGA3|ITGA5|ITGA6|ITGAV|ITGB1|LAMA2|LAMB3|LAMC1|LAMC2|LAMC3|SEMA7A|SPP1|TGM2|TNC|VEGFA|VEGFC|WNT5A
8,GO:0009653,anatomical structure morphogenesis,5.370E-06,3.293E-03,37,ACVR2A|ADAM17|BDNF|CAV1|CD9|COL1A1|COL1A2|COL3A1|COL5A2|COL6A1|COL6A2|COL7A1|CTGF|CXCL12|CYR61|FN1|IL8|ITGA3|ITGA5|ITGA6|ITGAV|ITGB1|L1CAM|LAMA2|LAMB3|LAMC1|LAMC2|LAMC3|RELN|RYK|SEMA7A|TGM2|THBS1|TNC|VEGFA|VEGFC|WNT5A
9,GO:0031589,cell-substrate adhesion,9.410E-06,5.128E-03,14,COL3A1|CTGF|FN1|ITGA3|ITGA5|ITGA6|ITGAV|ITGB1|L1CAM|LAMB3|LAMC1|LAMC2|LAMC3|NID1
10,GO:0007044,cell-substrate junction assembly,1.980E-05,9.710E-03,6,FN1|ITGA5|ITGA6|LAMB3|LAMC1|LAMC2
11,GO:0018149,peptide cross-linking,3.447E-05,1.537E-02,5,COL3A1|F13A1|FN1|TGM2|THBS1
12,GO:0001704,formation of primary germ layer,4.689E-05,1.917E-02,9,COL6A1|COL7A1|FN1|ITGA3|ITGA5|ITGAV|ITGB1|LAMB3|WNT5A
13,GO:0010810,regulation of cell-substrate adhesion,5.897E-05,2.034E-02,11,COL1A1|CYR61|FBLN1|FN1|ITGA3|ITGA5|ITGA6|NID1|PLAU|THBS1|VEGFA
14,GO:0000904,cell morphogenesis involved in differentiation,6.209E-05,2.034E-02,19,BDNF|COL6A1|COL6A2|COL7A1|CXCL12|FN1|ITGAV|ITGB1|L1CAM|LAMA2|LAMB3|LAMC1|LAMC2|LAMC3|RELN|RYK|SEMA7A|VEGFA|WNT5A
15,GO:0007369,gastrulation,6.293E-05,2.034E-02,10,ACVR2A|COL6A1|COL7A1|FN1|ITGA3|ITGA5|ITGAV|ITGB1|LAMB3|WNT5A
16,GO:0043200,response to amino acid,6.636E-05,2.034E-02,7,COL1A1|COL1A2|COL3A1|COL5A2|COL6A1|CTGF|ICAM1
17,GO:0030335,positive regulation of cell migration,8.384E-05,2.419E-02,22,ADAM17|CAV1|COL1A1|CXCL12|CYR61|FN1|GPI|ICAM1|IL8|ITGA3|ITGA5|ITGA6|ITGAV|ITGB1|LAMC2|PLAU|RELN|SEMA7A|THBS1|VEGFA|VEGFC|WNT5A
18,GO:0070208,protein heterotrimerization,9.169E-05,2.498E-02,4,COL1A1|COL1A2|COL6A1|COL6A2
