,GO_term_ID,GO_term_def,P,P_FDR_adj,NofGenes,Genes
1,GO:0005201,extracellular matrix structural constituent,0.000E+00,9.900E-09,20,COL1A1|COL1A2|COL3A1|COL4A5|COL4A6|COL5A2|COL6A1|COL6A2|COL7A1|CYR61|FBLN1|FN1|LAMA2|LAMB3|LAMC1|LAMC2|NID1|THBS1|THBS2|TNC
2,GO:0005198,structural molecule activity,0.000E+00,7.200E-09,22,CAV1|COL1A1|COL1A2|COL3A1|COL4A5|COL4A6|COL5A2|COL6A1|COL6A2|COL7A1|CYR61|FBLN1|FN1|LAMA2|LAMB3|LAMC1|LAMC2|LAMC3|NID1|THBS1|THBS2|TNC
3,GO:0005178,integrin binding,8.000E-10,1.553E-07,18,ADAM17|ADAM2|CD9|COL3A1|CTGF|CXCL12|CYR61|FN1|ICAM1|ICAM4|ITGA3|ITGA5|ITGAV|ITGB1|SEMA7A|SPP1|THBS1|TIMP2
4,GO:0044877,protein-containing complex binding,1.320E-08,1.974E-06,26,ACVR2A|ADAM17|ADAM2|AMFR|CAV1|CD9|COL3A1|CTGF|CXCL12|CYR61|FBLN1|FN1|ICAM1|ICAM4|ITGA3|ITGA5|ITGA6|ITGAV|ITGB1|LAMB3|MRC2|NID1|SEMA7A|SPP1|THBS1|TIMP2
5,GO:0001968,fibronectin binding,2.020E-07,2.420E-05,7,CTGF|FBLN1|ITGA3|ITGAV|ITGB1|THBS1|VEGFA
6,GO:0050839,cell adhesion molecule binding,4.136E-07,4.129E-05,19,ADAM17|ADAM2|CD9|COL3A1|CTGF|CXCL12|CYR61|FN1|ICAM1|ICAM4|ITGA3|ITGA5|ITGA6|ITGAV|ITGB1|SEMA7A|SPP1|THBS1|TIMP2
7,GO:0030020,extracellular matrix structural constituent conferring tensile strength,1.599E-06,1.368E-04,9,COL1A1|COL1A2|COL3A1|COL4A5|COL4A6|COL5A2|COL6A1|COL6A2|COL7A1
8,GO:0050840,extracellular matrix binding,4.780E-06,3.579E-04,9,CYR61|ITGA3|ITGA6|ITGAV|ITGB1|NID1|SPP1|THBS1|VEGFA
9,GO:0002020,protease binding,1.647E-05,1.096E-03,9,AMFR|COL1A1|COL1A2|COL3A1|FN1|ITGA3|ITGAV|ITGB1|TIMP2
10,GO:0016504,peptidase activator activity,3.180E-05,1.905E-03,4,CAV1|FBLN1|FN1|NGFRAP1
