,GO_term_ID,GO_term_def,P,P_FDR_adj,NofGenes,Genes
1,GO:0002479,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",1.606E-07,3.938E-04,8,B2M|CALR|CD36|HLA-A|HLA-E|HLA-F|HLA-G|ITGAV
2,GO:0042590,antigen processing and presentation of exogenous peptide antigen via MHC class I,1.606E-07,3.938E-04,8,B2M|CALR|CD36|HLA-A|HLA-E|HLA-F|HLA-G|ITGAV
3,GO:0019884,antigen processing and presentation of exogenous antigen,1.117E-06,1.694E-03,9,B2M|CALR|CD1B|CD36|HLA-A|HLA-E|HLA-F|HLA-G|ITGAV
4,GO:0019882,antigen processing and presentation,1.382E-06,1.694E-03,10,B2M|CALR|CD1B|CD36|HLA-A|HLA-E|HLA-F|HLA-G|ICAM1|ITGAV
5,GO:0002475,antigen processing and presentation via MHC class Ib,3.556E-06,2.958E-03,6,B2M|CD1B|HLA-A|HLA-E|HLA-F|HLA-G
6,GO:0002478,antigen processing and presentation of exogenous peptide antigen,3.618E-06,2.958E-03,8,B2M|CALR|CD36|HLA-A|HLA-E|HLA-F|HLA-G|ITGAV
7,GO:0010634,positive regulation of epithelial cell migration,5.297E-06,3.382E-03,15,ADAM17|AGT|BMPR2|CALR|HAS2|ITGA2|ITGA3|ITGB3|MET|MMP9|NRP2|PTGS2|SCARB1|SEMA5A|TGFB2
8,GO:0002428,antigen processing and presentation of peptide antigen via MHC class Ib,6.206E-06,3.382E-03,5,B2M|HLA-A|HLA-E|HLA-F|HLA-G
9,GO:0002480,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent",6.206E-06,3.382E-03,5,B2M|HLA-A|HLA-E|HLA-F|HLA-G
10,GO:0002474,antigen processing and presentation of peptide antigen via MHC class I,7.797E-06,3.824E-03,8,B2M|CALR|CD36|HLA-A|HLA-E|HLA-F|HLA-G|ITGAV
11,GO:0010632,regulation of epithelial cell migration,9.849E-06,4.392E-03,18,ADAM17|AGT|APOE|BMPR2|CALR|CXCL13|HAS2|ITGA2|ITGA3|ITGB3|MET|MMP9|NOTCH1|NRP2|PTGS2|SCARB1|SEMA5A|TGFB2
12,GO:0048002,antigen processing and presentation of peptide antigen,2.851E-05,1.165E-02,8,B2M|CALR|CD36|HLA-A|HLA-E|HLA-F|HLA-G|ITGAV
13,GO:0019885,antigen processing and presentation of endogenous peptide antigen via MHC class I,3.449E-05,1.194E-02,5,B2M|HLA-A|HLA-E|HLA-F|HLA-G
14,GO:0002483,antigen processing and presentation of endogenous peptide antigen,3.449E-05,1.194E-02,5,B2M|HLA-A|HLA-E|HLA-F|HLA-G
15,GO:0019883,antigen processing and presentation of endogenous antigen,3.650E-05,1.194E-02,6,B2M|CD1B|HLA-A|HLA-E|HLA-F|HLA-G
16,GO:0043062,extracellular structure organization,4.015E-05,1.231E-02,29,ABCA1|AGT|APOE|CD44|COL1A1|COL1A2|COL5A1|COL5A3|FN1|HAS2|ICAM1|ITGA2|ITGA3|ITGA7|ITGAV|ITGB1|ITGB3|LAMA1|LAMB1|LAMC1|MMP1|MMP9|NID1|PLTP|SCARB1|TGFB2|TGFBR1|TIMP1|TIMP2
17,GO:1902532,negative regulation of intracellular signal transduction,4.739E-05,1.367E-02,15,APOE|CALM1|CAV1|CD44|HLA-G|ITGA3|ITGB1|MET|MMP9|MTNR1B|NOV|PTGS2|SFRP1|TGFB2|TIMP2
18,GO:0060333,interferon-gamma-mediated signaling pathway,5.146E-05,1.402E-02,7,B2M|CD44|HLA-A|HLA-E|HLA-F|HLA-G|ICAM1
19,GO:0016192,vesicle-mediated transport,5.926E-05,1.530E-02,37,ABCA1|APOE|B2M|BST1|CALM1|CALR|CAV1|CCL5|CD36|CD3G|CD44|CD55|CD63|FN1|IL8|ITGAV|ITGB1|ITGB3|KIT|LGALS3BP|LILRA3|LRP8|LRPAP1|MET|MFGE8|MMP9|PROS1|PSAP|SCARB1|SORT1|TGFB2|TIMP1|TIMP2|TYRO3|UBA52|VEGFB|VLDLR
20,GO:0002476,antigen processing and presentation of endogenous peptide antigen via MHC class Ib,6.950E-05,1.549E-02,4,HLA-A|HLA-E|HLA-F|HLA-G
21,GO:0002484,antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway,6.950E-05,1.549E-02,4,HLA-A|HLA-E|HLA-F|HLA-G
22,GO:0002486,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent",6.950E-05,1.549E-02,4,HLA-A|HLA-E|HLA-F|HLA-G
23,GO:0031344,regulation of cell projection organization,7.467E-05,1.592E-02,26,AGT|APOE|B2M|BMPR2|CAV1|CD44|DKK1|FN1|ICAM1|IL2|ITGA2|ITGA3|KIT|L1CAM|LINGO1|LRP8|NGFR|PLXNB3|PLXNC1|SEMA4F|SEMA5A|SEMA7A|SFRP1|TGFBR1|VIM|VLDLR
24,GO:0043933,protein-containing complex subunit organization,8.487E-05,1.735E-02,23,ABCA1|AGT|APOE|B2M|CALR|CAV1|CCL5|CD3D|CD3G|COL1A1|COL1A2|COL5A1|COL5A3|FARP2|FN1|HLA-G|LAMC1|LY6G5C|PLTP|SCARB1|TGFB2|TGFBR1|UBA52
25,GO:0046580,negative regulation of Ras protein signal transduction,1.118E-04,2.194E-02,5,ITGA3|ITGB1|MET|TGFB2|TIMP2
26,GO:0120035,regulation of plasma membrane bounded cell projection organization,1.633E-04,3.080E-02,25,AGT|APOE|B2M|BMPR2|CAV1|CD44|DKK1|FN1|ICAM1|IL2|ITGA3|KIT|L1CAM|LINGO1|LRP8|NGFR|PLXNB3|PLXNC1|SEMA4F|SEMA5A|SEMA7A|SFRP1|TGFBR1|VIM|VLDLR
27,GO:0044403,symbiotic process,1.881E-04,3.418E-02,20,APOE|B2M|CALM1|CAV1|CCL5|CCR5|CD55|FN1|ICAM1|ITGA2|ITGAV|ITGB1|ITGB3|MET|MMP1|NRP2|SCARB1|TYRO3|UBA52|VIM
28,GO:0001704,formation of primary germ layer,2.112E-04,3.578E-02,11,BMPR2|DKK1|FN1|ITGA2|ITGA3|ITGA7|ITGAV|ITGB1|ITGB3|LAMB1|MMP9
29,GO:0045664,regulation of neuron differentiation,2.116E-04,3.578E-02,25,ADRA2B|AGT|APOE|B2M|BMPR2|CALR|DKK1|EDNRB|FN1|IL2|ITGA3|L1CAM|LINGO1|LRP8|NGFR|NOTCH1|PLXNB3|PLXNC1|SEMA4F|SEMA5A|SEMA7A|SFRP1|TIMP2|VIM|VLDLR
30,GO:0051058,negative regulation of small GTPase mediated signal transduction,2.763E-04,4.428E-02,5,ITGA3|ITGB1|MET|TGFB2|TIMP2
31,GO:0019058,viral life cycle,2.798E-04,4.428E-02,12,APOE|CAV1|CCR5|CD55|ICAM1|ITGA2|ITGAV|ITGB1|ITGB3|SCARB1|TYRO3|UBA52
32,GO:0030334,regulation of cell migration,3.127E-04,4.794E-02,40,ADAM17|AGT|APOE|BMPR2|BST1|CALR|CAV1|CCL5|COL1A1|CXCL13|CXCR3|FN1|HAS2|ICAM1|IL8|ITGA2|ITGA3|ITGAV|ITGB1|ITGB3|KIT|LAMA1|LAMB1|MET|MMP9|NOTCH1|NOV|NRP2|PLXNB3|PLXNC1|PTGS2|SCARB1|SEMA4F|SEMA5A|SEMA7A|SFRP1|TGFB2|TGFBR1|TIMP1|VEGFB
33,GO:1990776,response to angiotensin,3.227E-04,4.796E-02,4,AGT|CAV1|MAS1|PTGS2
34,GO:0097435,supramolecular fiber organization,3.414E-04,4.926E-02,10,B2M|CD36|COL1A1|COL1A2|COL5A1|COL5A3|ITGB1|TGFB2|TGFBR1|VIM
