,GO_term_ID,GO_term_def,NofGenes,Genes
1,GO:0007165,signal transduction,65,ACVR1|ADAM9|ADM2|ANGPT1|APOB|B2M|CALCRL|CALM1|CALM2|CALM3|CD24|CD34|CD36|CD3G|CD44|CD53|CHRM3|COL1A1|CXCL1|CXCL3|CXCR1|CXCR2|EFNB1|EMR2|EPHB2|EPHB4|FARP2|FAS|GDNF|GRM3|HGF|HLA-F|IL1B|IL1R1|IL1R2|IL2|IL2RA|IL2RB|IL2RG|IL8|INSR|ITGA1|ITGA2|ITGA4|ITGA5|ITGA6|ITGB1|LAMA5|LEPR|LILRB1|LRP1|MADCAM1|PDE1A|PDE1C|PF4|PLAUR|PTPRA|RET|SDC2|SELP|SEMA7A|TGFB2|TGFBR2|TLR1|UBA52
2,GO:0048856,anatomical structure development,56,ACVR1|ADAM9|ADM2|ANGPT1|APOB|APOD|B2M|CALCRL|CALM1|CALM2|CALM3|CD24|CD34|CD3G|CD44|CHRM3|COL1A1|COL5A2|CXCL1|CXCR2|EFNB1|EPHB2|EPHB4|FARP2|GDNF|HGF|HSPG2|IL1B|IL2|IL8|INSR|ITGA1|ITGA2|ITGA4|ITGA5|ITGA6|ITGB1|KCNQ1|LAMA5|LAMB1|LDLR|LEPR|LILRB1|LRP1|MYLK|PTPRA|RET|SDC2|SDC4|SEMA7A|SERPINE1|TFRC|TGFB2|TGFBR2|THBS1|VCAN
3,GO:0002376,immune system process,52,ADAM9|ANGPT1|APOB|B2M|CD24|CD34|CD36|CD3G|CD44|CD53|CD55|CFH|COL1A1|CXCL1|CXCL3|CXCR1|CXCR2|EFNB1|EMR2|FARP2|FAS|HLA-F|IL1B|IL1R1|IL1R2|IL2|IL2RA|IL2RG|IL8|ITGA1|ITGA4|ITGA5|ITGA6|ITGB1|LEPR|LILRB1|LRP1|MADCAM1|PF4|PLAUR|RET|SDC2|SDC4|SELL|SELP|SEMA7A|TFRC|TGFB2|TGFBR2|THBS1|TLR1|UBA52
4,GO:0006950,response to stress,44,ACVR1|ADAM9|APOD|B2M|CD24|CD34|CD36|CD44|CD55|CFH|COL1A1|CXCL1|CXCL3|CXCR2|EMR2|FAS|HLA-F|HSPG2|IL1B|IL1R1|IL2RA|IL8|ITGA2|ITGA5|ITGB1|LDLR|LILRB1|LRP1|MYLK|PF4|PLAUR|PROC|PROCR|RET|SDC4|SELP|SEMA7A|SERPINE1|TFPI|TGFB2|TGFBR2|THBS1|TLR1|UBA52
5,GO:0040011,locomotion,42,ACVR1|ADAM9|ANGPT1|APOB|CD24|CD34|CD44|COL1A1|CXCL1|CXCL3|CXCR1|CXCR2|EFNB1|EMR2|EPHB2|EPHB4|GDNF|HGF|HSPG2|IL1B|IL8|ITGA1|ITGA2|ITGA4|ITGA5|ITGA6|ITGB1|LAMA5|LAMB1|LRP1|MADCAM1|PF4|PLAUR|PTPRA|RET|SDC2|SDC4|SELL|SELP|SEMA7A|TGFB2|THBS1
6,GO:0030154,cell differentiation,39,ACVR1|ADAM9|ANGPT1|APOD|B2M|CD24|CD34|CD3G|COL1A1|EFNB1|EPHB2|EPHB4|FARP2|GDNF|HGF|HSPG2|IL1B|IL2|ITGA1|ITGA2|ITGA4|ITGA5|ITGA6|ITGB1|LAMA5|LAMB1|LDLR|LEPR|LILRB1|LRP1|PTPRA|RET|SDC2|SDC4|SEMA7A|TFRC|TGFB2|TGFBR2|VCAN
7,GO:0006810,transport,38,APOB|APOD|B2M|CALCRL|CALM1|CD24|CD36|CD3G|CD44|CD53|CD55|CHRM3|COL1A1|CXCL1|CXCR1|CXCR2|HGF|HSPG2|IL8|INSR|ITGA4|ITGB1|KCNQ1|LDLR|LEPR|LILRB1|LRP1|PF4|PLAUR|PROC|SELL|SELP|SERPINE1|TFRC|TGFB2|TGFBR2|THBS1|UBA52
8,GO:0048870,cell motility,38,ACVR1|ADAM9|ANGPT1|APOB|CD24|CD34|CD44|COL1A1|CXCL1|CXCL3|CXCR1|CXCR2|EFNB1|EMR2|EPHB4|GDNF|HGF|HSPG2|IL1B|IL8|ITGA1|ITGA2|ITGA4|ITGA5|ITGA6|ITGB1|LAMA5|LAMB1|MADCAM1|PF4|RET|SDC2|SDC4|SELL|SELP|SEMA7A|TGFB2|THBS1
9,GO:0016192,vesicle-mediated transport,33,APOB|B2M|CALCRL|CALM1|CD36|CD3G|CD44|CD53|CD55|CXCL1|CXCR1|CXCR2|HGF|HSPG2|IL8|INSR|ITGA4|ITGB1|LDLR|LEPR|LILRB1|LRP1|PF4|PLAUR|PROC|SELL|SELP|SERPINE1|TFRC|TGFB2|TGFBR2|THBS1|UBA52
10,GO:0007155,cell adhesion,30,ACVR1|ADAM9|ANGPT1|CD24|CD34|CD36|CD44|EFNB1|EMR2|EPHB4|FARP2|HSPG2|IL1B|IL2|ITGA1|ITGA2|ITGA4|ITGA5|ITGA6|ITGB1|LAMA5|LAMB1|MADCAM1|RET|SELL|SELP|TGFB2|TGFBR2|THBS1|VCAN
11,GO:0006464,cellular protein modification process,27,ACVR1|ADM2|ANGPT1|APOB|CALM1|CHRM3|EPHB2|EPHB4|GDNF|HGF|IL1B|IL2|IL2RA|IL2RB|IL2RG|INSR|LAMB1|MYLK|PROC|PTPRA|RET|SDC2|TGFB2|TGFBR2|THBS1|UBA52|VCAN
12,GO:0048646,anatomical structure formation involved in morphogenesis,26,ACVR1|ADM2|ANGPT1|APOD|CALCRL|CD34|COL1A1|EPHB2|EPHB4|GDNF|HSPG2|IL8|ITGA2|ITGA4|ITGA5|ITGA6|ITGB1|LAMA5|LAMB1|LEPR|RET|SDC4|SERPINE1|TGFB2|TGFBR2|THBS1
13,GO:0042592,homeostatic process,19,APOB|B2M|CALM1|CALM2|CALM3|CD24|CD34|CD36|CD55|CXCR1|CXCR2|IL1B|IL2|IL2RA|INSR|LDLR|LEPR|LRP1|TFRC
14,GO:0022607,cellular component assembly,19,ANGPT1|APOB|B2M|CD34|CD3G|COL1A1|EPHB2|FARP2|FAS|IL2RB|INSR|ITGA2|ITGA5|ITGA6|ITGB1|LAMA5|LAMB1|MYLK|UBA52
15,GO:0009790,embryo development,19,ACVR1|ANGPT1|APOB|COL1A1|COL5A2|EFNB1|EPHB2|GDNF|IL8|ITGA2|ITGA4|ITGA5|ITGB1|LAMA5|LAMB1|RET|SDC4|TGFB2|TGFBR2
16,GO:0030198,extracellular matrix organization,17,CD44|COL1A1|COL5A2|HSPG2|ITGA1|ITGA2|ITGA4|ITGA5|ITGA6|ITGB1|LAMA5|LAMB1|MADCAM1|SERPINE1|TGFB2|THBS1|VCAN
17,GO:0000902,cell morphogenesis,17,EFNB1|EPHB2|EPHB4|GDNF|HGF|HSPG2|ITGA1|ITGA4|ITGB1|LAMA5|LAMB1|LRP1|PTPRA|RET|SDC2|SEMA7A|TGFB2
18,GO:0044403,symbiotic process,16,B2M|CALM1|CALM2|CALM3|CD55|CFH|IL2RB|IL2RG|INSR|ITGA2|ITGA5|ITGB1|LDLR|PF4|TFRC|UBA52
19,GO:0044281,small molecule metabolic process,12,ANGPT1|APOB|APOD|CALM1|CD36|CD44|HGF|IL1B|LDLR|LEPR|PDE1A|VCAN
20,GO:0009056,catabolic process,12,APOB|CALM1|CD36|CD44|HSPG2|LDLR|LRP1|PDE1A|SDC2|SDC4|UBA52|VCAN
