,GO_term_ID,GO_term_def,P,P_FDR_adj,NofGenes,Genes
1,GO:0006898,receptor-mediated endocytosis,6.542E-06,1.676E-02,15,APOB|CALCRL|CD36|CXCR1|CXCR2|HSPG2|IL8|INSR|ITGA4|ITGB1|LDLR|LILRB1|LRP1|TFRC|TGFBR2
2,GO:0031623,receptor internalization,6.833E-06,1.676E-02,9,CALCRL|CD36|CXCR1|CXCR2|IL8|ITGB1|LILRB1|LRP1|TFRC
3,GO:0016192,vesicle-mediated transport,1.557E-05,1.730E-02,33,APOB|B2M|CALCRL|CALM1|CD36|CD3G|CD44|CD53|CD55|CXCL1|CXCR1|CXCR2|HGF|HSPG2|IL8|INSR|ITGA4|ITGB1|LDLR|LEPR|LILRB1|LRP1|PF4|PLAUR|PROC|SELL|SELP|SERPINE1|TFRC|TGFB2|TGFBR2|THBS1|UBA52
4,GO:0050900,leukocyte migration,1.979E-05,1.730E-02,25,ANGPT1|APOB|CD34|CD44|COL1A1|CXCL1|CXCL3|CXCR1|CXCR2|EMR2|IL1B|IL8|ITGA1|ITGA4|ITGA5|ITGA6|ITGB1|MADCAM1|PF4|RET|SDC2|SDC4|SELL|SELP|TGFB2
5,GO:0033631,cell-cell adhesion mediated by integrin,2.944E-05,1.730E-02,4,ADAM9|ITGA4|ITGA5|ITGB1
6,GO:0038110,interleukin-2-mediated signaling pathway,2.944E-05,1.730E-02,4,IL2|IL2RA|IL2RB|IL2RG
7,GO:0071352,cellular response to interleukin-2,2.944E-05,1.730E-02,4,IL2|IL2RA|IL2RB|IL2RG
8,GO:0070669,response to interleukin-2,2.944E-05,1.730E-02,4,IL2|IL2RA|IL2RB|IL2RG
9,GO:0002376,immune system process,3.175E-05,1.730E-02,52,ADAM9|ANGPT1|APOB|B2M|CD24|CD34|CD36|CD3G|CD44|CD53|CD55|CFH|COL1A1|CXCL1|CXCL3|CXCR1|CXCR2|EFNB1|EMR2|FARP2|FAS|HLA-F|IL1B|IL1R1|IL1R2|IL2|IL2RA|IL2RG|IL8|ITGA1|ITGA4|ITGA5|ITGA6|ITGB1|LEPR|LILRB1|LRP1|MADCAM1|PF4|PLAUR|RET|SDC2|SDC4|SELL|SELP|SEMA7A|TFRC|TGFB2|TGFBR2|THBS1|TLR1|UBA52
10,GO:0043170,macromolecule metabolic process,6.926E-05,3.397E-02,46,ACVR1|ADAM28|ADAM9|ADM2|ANGPT1|APOB|B2M|CALCRL|CALM1|CD36|CD44|CELA3B|CHRM3|CXCR1|CXCR2|EPHB2|EPHB4|GDNF|HGF|HSPG2|IL1B|IL2|IL2RA|IL2RB|IL2RG|IL8|INSR|ITGB1|LAMB1|LDLR|LEPR|LILRB1|LRP1|MYLK|PROC|PTPRA|RET|SDC2|SDC4|TFPI|TFRC|TGFB2|TGFBR2|THBS1|UBA52|VCAN
11,GO:0010922,positive regulation of phosphatase activity,9.840E-05,3.908E-02,5,CALM1|CALM2|CALM3|ITGA1|ITGA2
12,GO:0016477,cell migration,1.005E-04,3.908E-02,38,ACVR1|ADAM9|ANGPT1|APOB|CD24|CD34|CD44|COL1A1|CXCL1|CXCL3|CXCR1|CXCR2|EFNB1|EMR2|EPHB4|GDNF|HGF|HSPG2|IL1B|IL8|ITGA1|ITGA2|ITGA4|ITGA5|ITGA6|ITGB1|LAMA5|LAMB1|MADCAM1|PF4|RET|SDC2|SDC4|SELL|SELP|SEMA7A|TGFB2|THBS1
13,GO:0048870,cell motility,1.280E-04,3.908E-02,38,ACVR1|ADAM9|ANGPT1|APOB|CD24|CD34|CD44|COL1A1|CXCL1|CXCL3|CXCR1|CXCR2|EFNB1|EMR2|EPHB4|GDNF|HGF|HSPG2|IL1B|IL8|ITGA1|ITGA2|ITGA4|ITGA5|ITGA6|ITGB1|LAMA5|LAMB1|MADCAM1|PF4|RET|SDC2|SDC4|SELL|SELP|SEMA7A|TGFB2|THBS1
14,GO:0051674,localization of cell,1.280E-04,3.908E-02,38,ACVR1|ADAM9|ANGPT1|APOB|CD24|CD34|CD44|COL1A1|CXCL1|CXCL3|CXCR1|CXCR2|EFNB1|EMR2|EPHB4|GDNF|HGF|HSPG2|IL1B|IL8|ITGA1|ITGA2|ITGA4|ITGA5|ITGA6|ITGB1|LAMA5|LAMB1|MADCAM1|PF4|RET|SDC2|SDC4|SELL|SELP|SEMA7A|TGFB2|THBS1
15,GO:0008152,metabolic process,1.316E-04,3.908E-02,52,ACVR1|ADAM28|ADAM9|ADM2|ANGPT1|APOB|APOD|B2M|CALCRL|CALM1|CD24|CD36|CD44|CD55|CELA3B|CHRM3|COL1A1|CXCR1|CXCR2|EPHB2|EPHB4|GDNF|HGF|HSPG2|IL1B|IL2|IL2RA|IL2RB|IL2RG|IL8|INSR|ITGB1|KCNQ1|LAMB1|LDLR|LEPR|LILRB1|LRP1|MYLK|PDE1A|PROC|PTPRA|RET|SDC2|SDC4|TFPI|TFRC|TGFB2|TGFBR2|THBS1|UBA52|VCAN
16,GO:0032516,positive regulation of phosphoprotein phosphatase activity,1.388E-04,3.908E-02,4,CALM1|CALM2|CALM3|ITGA1
17,GO:0043112,receptor metabolic process,1.409E-04,3.908E-02,9,CALCRL|CD36|CXCR1|CXCR2|IL8|ITGB1|LILRB1|LRP1|TFRC
18,GO:0006928,movement of cell or subcellular component,1.509E-04,3.908E-02,42,ACVR1|ADAM9|ANGPT1|APOB|CD24|CD34|CD44|COL1A1|CXCL1|CXCL3|CXCR1|CXCR2|EFNB1|EMR2|EPHB2|EPHB4|GDNF|HGF|HSPG2|IL1B|IL8|ITGA1|ITGA2|ITGA4|ITGA5|ITGA6|ITGB1|KCNQ1|LAMA5|LAMB1|LRP1|MADCAM1|PF4|PTPRA|RET|SDC2|SDC4|SELL|SELP|SEMA7A|TGFB2|THBS1
19,GO:0051179,localization,1.661E-04,3.908E-02,60,ACVR1|ADAM9|ANGPT1|APOB|APOD|B2M|CALCRL|CALM1|CALM3|CD24|CD34|CD36|CD3G|CD44|CD53|CD55|CHRM3|COL1A1|CXCL1|CXCL3|CXCR1|CXCR2|EFNB1|EMR2|EPHB4|GDNF|HGF|HSPG2|IL1B|IL8|INSR|ITGA1|ITGA2|ITGA4|ITGA5|ITGA6|ITGB1|KCNQ1|LAMA5|LAMB1|LDLR|LEPR|LILRB1|LRP1|MADCAM1|PF4|PLAUR|PROC|RET|SDC2|SDC4|SELL|SELP|SEMA7A|SERPINE1|TFRC|TGFB2|TGFBR2|THBS1|UBA52
20,GO:0006897,endocytosis,1.800E-04,3.908E-02,16,APOB|CALCRL|CD36|CXCR1|CXCR2|HSPG2|IL8|INSR|ITGA4|ITGB1|LDLR|LILRB1|LRP1|TFRC|TGFBR2|THBS1
21,GO:0044260,cellular macromolecule metabolic process,1.810E-04,3.908E-02,39,ACVR1|ADM2|ANGPT1|APOB|B2M|CALCRL|CALM1|CD36|CHRM3|CXCR1|CXCR2|EPHB2|EPHB4|GDNF|HGF|HSPG2|IL1B|IL2|IL2RA|IL2RB|IL2RG|IL8|INSR|ITGB1|LAMB1|LEPR|LILRB1|LRP1|MYLK|PROC|PTPRA|RET|SDC2|TFRC|TGFB2|TGFBR2|THBS1|UBA52|VCAN
22,GO:0048585,negative regulation of response to stimulus,2.204E-04,3.908E-02,36,ACVR1|ANGPT1|APOD|CALCRL|CALM1|CALM2|CALM3|CD34|CD44|CD55|EPHB2|FAS|GDNF|HGF|HLA-F|IL1B|IL1R2|IL2|IL2RA|IL8|ITGA1|ITGA6|ITGB1|LDLR|LILRB1|LRP1|PF4|PLAUR|PROC|SEMA7A|SERPINE1|TFPI|TGFB2|TGFBR2|THBS1|UBA52
23,GO:0010921,regulation of phosphatase activity,2.736E-04,3.908E-02,6,CALM1|CALM2|CALM3|ITGA1|ITGA2|TGFB2
24,GO:0002682,regulation of immune system process,2.836E-04,3.908E-02,39,ANGPT1|APOB|APOD|B2M|CALM1|CD24|CD34|CD36|CD3G|CD55|CFH|COL1A1|CXCR2|EFNB1|EMR2|HLA-F|IL1B|IL1R1|IL2|IL2RA|IL8|ITGA2|ITGA4|ITGB1|LDLR|LILRB1|MADCAM1|PF4|SDC4|SELL|SELP|SEMA7A|SERPINE1|TFRC|TGFB2|TGFBR2|THBS1|TLR1|UBA52
25,GO:2001237,negative regulation of extrinsic apoptotic signaling pathway,3.270E-04,3.908E-02,9,ACVR1|FAS|GDNF|HGF|IL1B|ITGA6|PF4|SERPINE1|THBS1
26,GO:0072358,cardiovascular system development,3.635E-04,3.908E-02,24,ACVR1|ADM2|ANGPT1|APOB|APOD|CALCRL|CD34|COL1A1|EPHB2|EPHB4|HSPG2|IL8|ITGA5|ITGB1|KCNQ1|LAMA5|LDLR|LEPR|LRP1|MYLK|SERPINE1|TGFB2|TGFBR2|THBS1
27,GO:0060316,positive regulation of ryanodine-sensitive calcium-release channel activity,4.064E-04,3.908E-02,3,CALM1|CALM2|CALM3
28,GO:0061343,cell adhesion involved in heart morphogenesis,4.064E-04,3.908E-02,3,ACVR1|TGFB2|TGFBR2
29,GO:0052526,positive regulation by organism of signal transduction in other organism involved in symbiotic interaction,4.064E-04,3.908E-02,3,CALM1|CALM2|CALM3
30,GO:1900181,negative regulation of protein localization to nucleus,4.064E-04,3.908E-02,3,ANGPT1|APOD|CD36
31,GO:0052470,modulation by host of symbiont signal transduction pathway,4.064E-04,3.908E-02,3,CALM1|CALM2|CALM3
32,GO:0075205,modulation by host of symbiont cAMP-mediated signal transduction,4.064E-04,3.908E-02,3,CALM1|CALM2|CALM3
33,GO:0005513,detection of calcium ion,4.064E-04,3.908E-02,3,CALM1|CALM2|CALM3
34,GO:0052525,positive regulation by host of symbiont signal transduction pathway,4.064E-04,3.908E-02,3,CALM1|CALM2|CALM3
35,GO:0075206,positive regulation by host of symbiont cAMP-mediated signal transduction,4.064E-04,3.908E-02,3,CALM1|CALM2|CALM3
36,GO:0044502,positive regulation of signal transduction in other organism,4.064E-04,3.908E-02,3,CALM1|CALM2|CALM3
37,GO:0003274,endocardial cushion fusion,4.064E-04,3.908E-02,3,ACVR1|TGFB2|TGFBR2
38,GO:0051342,regulation of cyclic-nucleotide phosphodiesterase activity,4.064E-04,3.908E-02,3,CALM1|CALM2|CALM3
39,GO:0010882,regulation of cardiac muscle contraction by calcium ion signaling,4.064E-04,3.908E-02,3,CALM1|CALM2|CALM3
40,GO:0052250,modulation of signal transduction in other organism involved in symbiotic interaction,4.064E-04,3.908E-02,3,CALM1|CALM2|CALM3
41,GO:0060315,negative regulation of ryanodine-sensitive calcium-release channel activity,4.064E-04,3.908E-02,3,CALM1|CALM2|CALM3
42,GO:0042308,negative regulation of protein import into nucleus,4.064E-04,3.908E-02,3,ANGPT1|APOD|CD36
43,GO:1904590,negative regulation of protein import,4.064E-04,3.908E-02,3,ANGPT1|APOD|CD36
44,GO:0010881,regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion,4.064E-04,3.908E-02,3,CALM1|CALM2|CALM3
45,GO:0010880,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,4.064E-04,3.908E-02,3,CALM1|CALM2|CALM3
46,GO:0046823,negative regulation of nucleocytoplasmic transport,4.064E-04,3.908E-02,3,ANGPT1|APOD|CD36
47,GO:0050849,negative regulation of calcium-mediated signaling,4.064E-04,3.908E-02,3,CALM1|CALM2|CALM3
48,GO:0044501,modulation of signal transduction in other organism,4.064E-04,3.908E-02,3,CALM1|CALM2|CALM3
49,GO:0060314,regulation of ryanodine-sensitive calcium-release channel activity,4.064E-04,3.908E-02,3,CALM1|CALM2|CALM3
50,GO:0051343,positive regulation of cyclic-nucleotide phosphodiesterase activity,4.064E-04,3.908E-02,3,CALM1|CALM2|CALM3
51,GO:0010801,negative regulation of peptidyl-threonine phosphorylation,4.064E-04,3.908E-02,3,CALM1|CALM2|CALM3
52,GO:0098657,import into cell,4.298E-04,4.054E-02,16,APOB|CALCRL|CD36|CXCR1|CXCR2|HSPG2|IL8|INSR|ITGA4|ITGB1|LDLR|LILRB1|LRP1|TFRC|TGFBR2|THBS1
53,GO:0071704,organic substance metabolic process,4.816E-04,4.457E-02,49,ACVR1|ADAM28|ADAM9|ADM2|ANGPT1|APOB|APOD|B2M|CALCRL|CALM1|CD36|CD44|CELA3B|CHRM3|CXCR1|CXCR2|EPHB2|EPHB4|GDNF|HGF|HSPG2|IL1B|IL2|IL2RA|IL2RB|IL2RG|IL8|INSR|ITGB1|KCNQ1|LAMB1|LDLR|LEPR|LILRB1|LRP1|MYLK|PDE1A|PROC|PTPRA|RET|SDC2|SDC4|TFPI|TFRC|TGFB2|TGFBR2|THBS1|UBA52|VCAN
