,GO_term_ID,GO_term_def,P,P_FDR_adj,NofGenes,Genes
1,GO:0007160,cell-matrix adhesion,2.000E-10,7.743E-07,20,ADAM9|CCL21|CD44|CTGF|FGA|FGB|ITGA1|ITGA2|ITGA3|ITGA4|ITGA6|ITGAV|ITGB1|ITGB3|ITGB6|L1CAM|LAMA5|MADCAM1|NID1|SORBS1
2,GO:0031589,cell-substrate adhesion,3.000E-10,7.743E-07,24,ADAM9|CCL21|CD44|CTGF|FGA|FGB|HSPG2|ITGA1|ITGA2|ITGA3|ITGA4|ITGA6|ITGAV|ITGB1|ITGB3|ITGB6|L1CAM|LAMA5|LAMB1|LAMC1|LAMC2|MADCAM1|NID1|SORBS1
3,GO:0030198,extracellular matrix organization,6.000E-10,7.883E-07,33,CD44|COL1A1|COL4A6|COL6A3|CTGF|FBN1|FGA|FGB|HSPG2|IBSP|ITGA1|ITGA2|ITGA3|ITGA4|ITGA6|ITGAV|ITGB1|ITGB3|ITGB6|LAMA2|LAMA4|LAMA5|LAMB1|LAMC1|LAMC2|MADCAM1|MMP1|NID1|PDGFRA|SERPINE1|TGFBR1|THBS1|VCAN
4,GO:0043062,extracellular structure organization,6.000E-10,7.883E-07,35,ABCA1|APOB|CD44|COL1A1|COL4A6|COL6A3|CTGF|FBN1|FGA|FGB|HSPG2|IBSP|ITGA1|ITGA2|ITGA3|ITGA4|ITGA6|ITGAV|ITGB1|ITGB3|ITGB6|LAMA2|LAMA4|LAMA5|LAMB1|LAMC1|LAMC2|MADCAM1|MMP1|NID1|PDGFRA|SERPINE1|TGFBR1|THBS1|VCAN
5,GO:0007155,cell adhesion,1.090E-08,1.074E-05,45,ADAM17|ADAM9|CCL11|CCL21|CCR3|CD44|CD97|COL4A6|COL6A3|CTGF|EDIL3|FBN1|FGA|FGB|HSPG2|IBSP|ITGA1|ITGA2|ITGA3|ITGA4|ITGA6|ITGAV|ITGB1|ITGB3|ITGB6|KIT|KITLG|L1CAM|LAMA2|LAMA4|LAMA5|LAMB1|LAMC1|LAMC2|LRP6|MADCAM1|NID1|PDGFRA|RET|RGMB|SELP|SORBS1|THBS1|THBS2|VCAN
6,GO:0022610,biological adhesion,1.650E-08,1.345E-05,45,ADAM17|ADAM9|CCL11|CCL21|CCR3|CD44|CD97|COL4A6|COL6A3|CTGF|EDIL3|FBN1|FGA|FGB|HSPG2|IBSP|ITGA1|ITGA2|ITGA3|ITGA4|ITGA6|ITGAV|ITGB1|ITGB3|ITGB6|KIT|KITLG|L1CAM|LAMA2|LAMA4|LAMA5|LAMB1|LAMC1|LAMC2|LRP6|MADCAM1|NID1|PDGFRA|RET|RGMB|SELP|SORBS1|THBS1|THBS2|VCAN
7,GO:0033627,cell adhesion mediated by integrin,2.998E-06,2.101E-03,9,ADAM17|ADAM9|FBN1|ITGA2|ITGA4|ITGAV|ITGB1|ITGB3|ITGB6
8,GO:0007229,integrin-mediated signaling pathway,8.541E-06,5.237E-03,13,ADAM9|CTGF|ITGA1|ITGA2|ITGA3|ITGA4|ITGA6|ITGAV|ITGB1|ITGB3|ITGB6|LAMA5|MADCAM1
9,GO:0010810,regulation of cell-substrate adhesion,6.194E-05,3.057E-02,14,CCL21|CCR7|COL1A1|EDIL3|FGA|FGB|ITGA3|ITGA6|LRP1|MDK|NID1|SDC4|SERPINE1|THBS1
10,GO:0006928,movement of cell or subcellular component,6.795E-05,3.057E-02,46,ADAM17|ADAM9|APOB|CCL11|CCL20|CCL21|CCR3|CCR6|CCR7|CD44|COL1A1|CTGF|EPHB2|GDNF|HSPG2|ITGA1|ITGA2|ITGA3|ITGA4|ITGA6|ITGAV|ITGB1|ITGB3|ITGB6|KCNQ1|KIT|KITLG|L1CAM|LAMA2|LAMA5|LAMB1|LAMC1|LAMC2|LRP1|MADCAM1|MDK|MMP1|PDGFRA|PF4|PTCH1|RET|SDC4|SELP|SHH|TGFBR1|THBS1
11,GO:0016477,cell migration,7.704E-05,3.057E-02,41,ADAM17|ADAM9|APOB|CCL11|CCL20|CCL21|CCR3|CCR6|CCR7|CD44|COL1A1|CTGF|GDNF|HSPG2|ITGA1|ITGA2|ITGA3|ITGA4|ITGA6|ITGAV|ITGB1|ITGB3|ITGB6|KIT|KITLG|L1CAM|LAMA5|LAMB1|LAMC1|LAMC2|MADCAM1|MDK|MMP1|PDGFRA|PF4|RET|SDC4|SELP|SHH|TGFBR1|THBS1
12,GO:0071840,cellular component organization or biogenesis,8.653E-05,3.057E-02,57,ABCA1|APOB|BMPR2|CALM3|CCL11|CCL21|CCR7|CD44|COL1A1|COL4A6|COL6A3|CTGF|EPHB2|FBN1|FGA|FGB|GDNF|HSPG2|IBSP|ITGA1|ITGA2|ITGA3|ITGA4|ITGA6|ITGAV|ITGB1|ITGB3|ITGB6|KIT|L1CAM|LAMA2|LAMA4|LAMA5|LAMB1|LAMC1|LAMC2|LDLR|LRP1|LRP6|MADCAM1|MDK|MMP1|NID1|PDGFRA|PTCH1|RET|SCT|SDC4|SERPINE1|SHH|SORBS1|TF|TFRC|TGFBR1|THBS1|TRPC5|VCAN
13,GO:0016043,cellular component organization,8.653E-05,3.057E-02,57,ABCA1|APOB|BMPR2|CALM3|CCL11|CCL21|CCR7|CD44|COL1A1|COL4A6|COL6A3|CTGF|EPHB2|FBN1|FGA|FGB|GDNF|HSPG2|IBSP|ITGA1|ITGA2|ITGA3|ITGA4|ITGA6|ITGAV|ITGB1|ITGB3|ITGB6|KIT|L1CAM|LAMA2|LAMA4|LAMA5|LAMB1|LAMC1|LAMC2|LDLR|LRP1|LRP6|MADCAM1|MDK|MMP1|NID1|PDGFRA|PTCH1|RET|SCT|SDC4|SERPINE1|SHH|SORBS1|TF|TFRC|TGFBR1|THBS1|TRPC5|VCAN
14,GO:0030335,positive regulation of cell migration,9.910E-05,3.057E-02,30,ADAM17|ADAM9|BMPR2|CCL11|CCL20|CCL21|CCR6|CCR7|COL1A1|ITGA2|ITGA3|ITGA4|ITGA6|ITGAV|ITGB1|ITGB3|KIT|KITLG|LAMB1|LAMC2|LRP1|MADCAM1|MDK|PDGFD|PDGFRA|RET|SELP|SERPINE1|TGFBR1|THBS1
15,GO:0051674,localization of cell,9.971E-05,3.057E-02,41,ADAM17|ADAM9|APOB|CCL11|CCL20|CCL21|CCR3|CCR6|CCR7|CD44|COL1A1|CTGF|GDNF|HSPG2|ITGA1|ITGA2|ITGA3|ITGA4|ITGA6|ITGAV|ITGB1|ITGB3|ITGB6|KIT|KITLG|L1CAM|LAMA5|LAMB1|LAMC1|LAMC2|MADCAM1|MDK|MMP1|PDGFRA|PF4|RET|SDC4|SELP|SHH|TGFBR1|THBS1
16,GO:0048870,cell motility,9.971E-05,3.057E-02,41,ADAM17|ADAM9|APOB|CCL11|CCL20|CCL21|CCR3|CCR6|CCR7|CD44|COL1A1|CTGF|GDNF|HSPG2|ITGA1|ITGA2|ITGA3|ITGA4|ITGA6|ITGAV|ITGB1|ITGB3|ITGB6|KIT|KITLG|L1CAM|LAMA5|LAMB1|LAMC1|LAMC2|MADCAM1|MDK|MMP1|PDGFRA|PF4|RET|SDC4|SELP|SHH|TGFBR1|THBS1
17,GO:0051179,localization,1.400E-04,4.039E-02,65,ABCA1|ADAM17|ADAM9|APOB|CALM1|CALM3|CCL11|CCL20|CCL21|CCR3|CCR6|CCR7|CD44|CD55|CD97|CHRM3|COL1A1|CTGF|FBN1|FGA|FGB|GDNF|HSPG2|ITGA1|ITGA2|ITGA3|ITGA4|ITGA6|ITGAV|ITGB1|ITGB3|ITGB6|KCNQ1|KIT|KITLG|L1CAM|LAMA5|LAMB1|LAMC1|LAMC2|LDLR|LIN7C|LRP1|LRP5|LRP6|LTF|MADCAM1|MDK|MMP1|PDGFRA|PF4|PLAUR|PTCH1|RET|SCN10A|SCT|SDC4|SELP|SERPINE1|SHH|TF|TFRC|TGFBR1|THBS1|TRPC5
18,GO:0010035,response to inorganic substance,1.516E-04,4.131E-02,16,ADAM9|ADCY7|APOB|BMP6|CALM1|CALM3|CCR7|COL1A1|FGA|FGB|KIT|PDGFD|PTCH1|SHH|TF|THBS1
19,GO:2000147,positive regulation of cell motility,1.657E-04,4.265E-02,30,ADAM17|ADAM9|BMPR2|CCL11|CCL20|CCL21|CCR6|CCR7|COL1A1|ITGA2|ITGA3|ITGA4|ITGA6|ITGAV|ITGB1|ITGB3|KIT|KITLG|LAMB1|LAMC2|LRP1|MADCAM1|MDK|PDGFD|PDGFRA|RET|SELP|SERPINE1|TGFBR1|THBS1
20,GO:0030334,regulation of cell migration,1.907E-04,4.265E-02,37,ADAM17|ADAM9|BMPR2|CCL11|CCL20|CCL21|CCR6|CCR7|COL1A1|IL4|ITGA2|ITGA3|ITGA4|ITGA6|ITGAV|ITGB1|ITGB3|KIT|KITLG|LAMA2|LAMA4|LAMA5|LAMB1|LAMC2|LRP1|MADCAM1|MDK|PDGFD|PDGFRA|RET|SDC4|SELP|SERPINE1|SHH|SST|TGFBR1|THBS1
