X1	X2	X3	X4
aDC	GSE22886 Abbas	DendriticCell-LPSstimulated-1 [HG-U133A]	DendriticCell-LPSstimulated-1 [HG-U133A]
aDC	GSE22886 Abbas	DendriticCell-LPSstimulated-2 [HG-U133A]	DendriticCell-LPSstimulated-2 [HG-U133A]
aDC	GSE22886 Abbas	DendriticCell-LPSstimulated-3 [HG-U133A]	DendriticCell-LPSstimulated-3 [HG-U133A]
aDC	GSE22886 Abbas	DendriticCell-LPSstimulated-4 [HG-U133A]	DendriticCell-LPSstimulated-4 [HG-U133A]
aDC	GSE22886 Abbas	DendriticCell-LPSstimulated-5 [HG-U133A]	DendriticCell-LPSstimulated-5 [HG-U133A]
aDC	GSE22886 Abbas	DendriticCell-LPSstimulated-6 [HG-U133A]	DendriticCell-LPSstimulated-6 [HG-U133A]
astrocytes	Encode	astrocyte"	astrocyte
astrocytes	Mabbott	Hs.64:Astrocyte:Embryonic_stem_cell-derived:d210_RA-specified:	Hs.64:Astrocyte:Embryonic_stem_cell-derived:d210_RA-specified:
astrocytes	Mabbott	Hs.64:Astrocyte:Embryonic_stem_cell-derived:d210_FGF8-specified:	Hs.64:Astrocyte:Embryonic_stem_cell-derived:d210_FGF8-specified:
b-cell	Noverstern	Mature B-cells	Mature B-cells
b-cell	Noverstern	Mature B-cells	Mature B-cells
b-cell	Noverstern	Mature B-cells	Mature B-cells
b-cell	Noverstern	Mature B-cells	Mature B-cells
b-cell	Noverstern	Mature B-cells	Mature B-cells
Basophils	Noverstern	Basophils	Basophils
Basophils	Noverstern	Basophils	Basophils
Basophils	Noverstern	Basophils	Basophils
Basophils	Noverstern	Basophils	Basophils
Basophils	Noverstern	Basophils	Basophils
Basophils	Noverstern	Basophils	Basophils
CD4+ naive T-cells	Noverstern	Naive CD4+ T-cell	Naive CD4+ T-cell
CD4+ naive T-cells	Noverstern	Naive CD4+ T-cell	Naive CD4+ T-cell
CD4+ naive T-cells	Noverstern	Naive CD4+ T-cell	Naive CD4+ T-cell
CD4+ naive T-cells	Noverstern	Naive CD4+ T-cell	Naive CD4+ T-cell
CD4+ naive T-cells	Noverstern	Naive CD4+ T-cell	Naive CD4+ T-cell
CD4+ naive T-cells	Noverstern	Naive CD4+ T-cell	Naive CD4+ T-cell
CD4+ naive T-cells	Noverstern	Naive CD4+ T-cell	Naive CD4+ T-cell
CD4+ naive T-cells	Mabbott	Hs.12:PB:T_cell:CD4+_naive:r1	Hs.12:PB:T_cell:CD4+_naive:r1
CD4+ naive T-cells	Mabbott	Hs.12:PB:T_cell:CD4+_naive:r2	Hs.12:PB:T_cell:CD4+_naive:r2
CD4+ naive T-cells	Mabbott	Hs.12:PB:T_cell:CD4+_naive:r3	Hs.12:PB:T_cell:CD4+_naive:r3
CD4+ naive T-cells	Mabbott	Hs.12:PB:T_cell:CD4+_naive:r4	Hs.12:PB:T_cell:CD4+_naive:r4
CD4+ T-cells	Abbas	CD4Tcell-N0-1 [HG-U133A]	CD4Tcell-N0-1 [HG-U133A]
CD4+ T-cells	Abbas	CD4Tcell-N0-2 [HG-U133A]	CD4Tcell-N0-2 [HG-U133A]
CD4+ T-cells	Abbas	CD4Tcell-N0-3 [HG-U133A]	CD4Tcell-N0-3 [HG-U133A]
CD4+ T-cells	Mabbott	Hs.42:PB:T_cell:CD4+:pos-sel:r6	Hs.42:PB:T_cell:CD4+:pos-sel:r6
CD4+ T-cells	Mabbott	Hs.42:PB:T_cell:CD4+:pos-sel:r7	Hs.42:PB:T_cell:CD4+:pos-sel:r7
